Id,minutes_past,radardist_km,Ref,Ref_5x5_10th,Ref_5x5_50th,Ref_5x5_90th,RefComposite,RefComposite_5x5_10th,RefComposite_5x5_50th,RefComposite_5x5_90th,RhoHV,RhoHV_5x5_10th,RhoHV_5x5_50th,RhoHV_5x5_90th,Zdr,Zdr_5x5_10th,Zdr_5x5_50th,Zdr_5x5_90th,Kdp,Kdp_5x5_10th,Kdp_5x5_50th,Kdp_5x5_90th,Expected
2,31,2.0,22.5,19.0,22.0,25.0,26.0,23.5,25.5,27.5,0.99833333,0.995,0.99833333,1.0016667,0.0,-0.1875,0.25,0.625,-1.0599976,-2.1200104,-0.7100067,0.34999084,1.0160005
2,37,2.0,14.0,14.0,18.5,21.0,19.5,20.0,21.0,23.0,0.99833333,0.9916667,0.99833333,0.99833333,0.5,0.1875,0.4375,0.8125,0.0,-1.7600098,-0.3500061,1.0599976,1.0160005
2,42,2.0,12.0,11.0,12.5,17.0,19.5,18.0,21.0,23.0,0.99833333,0.995,0.99833333,0.99833333,0.625,0.375,0.625,0.875,-0.3500061,-0.3500061,0.0,0.34999084,1.0160005
2,47,2.0,1.5,3.5,7.0,10.5,18.0,16.5,18.5,21.5,0.99833333,0.995,0.99833333,0.99833333,0.375,0.1875,0.5,0.6875,0.34999084,-2.1100006,-0.3500061,1.0599976,1.0160005
2,53,2.0,16.0,14.5,18.0,23.5,28.0,23.5,26.5,29.5,0.99833333,0.9916667,0.99833333,0.99833333,0.875,0.625,0.9375,1.375,-0.3500061,-1.4100037,-0.3500061,2.119995,1.0160005
2,58,2.0,22.0,16.5,22.5,26.5,31.5,26.5,29.0,32.0,0.99833333,0.995,0.99833333,1.0016667,0.375,0.1875,0.375,0.875,-1.4100037,,-0.3500061,0.69999695,1.0160005
3,4,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,9,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,14,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,18,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,23,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,28,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,33,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,38,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,43,10.0,,,,8.5,,,,8.5,,,,,,,,,,,,,26.162014
3,48,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
3,53,10.0,,,,,,,,,,,,0.8016667,,,,2.0625,,,,,26.162014
3,58,10.0,,,,,,,,,,,,,,,,,,,,,26.162014
4,0,9.0,18.5,16.0,19.0,23.5,24.5,22.0,23.5,25.5,,,,0.99833333,,,,1.4375,,,,,4.064002
4,5,9.0,22.0,14.0,21.0,30.0,25.5,22.5,25.5,33.5,,,,,,,,,,,,,4.064002
4,9,9.0,35.5,24.5,30.5,35.5,35.5,25.5,31.5,35.5,,,,,,,,,,,,,4.064002
4,14,9.0,16.5,,19.0,34.5,23.5,16.5,23.0,35.0,,,,,,,,,,,,,4.064002
4,19,9.0,16.0,,11.0,18.0,20.5,13.5,18.5,23.5,,,,,,,,,,,,,4.064002
4,23,9.0,,,,26.0,7.5,12.0,18.5,30.0,,,,,,,,,,,,,4.064002
4,28,9.0,32.5,10.5,34.5,43.0,42.5,19.5,39.5,45.5,,,,,,,,,,,,,4.064002
4,33,9.0,41.5,33.5,39.5,44.5,43.0,36.0,41.5,44.5,,,,,,,,,,,,,4.064002
4,38,9.0,34.0,33.5,37.5,42.5,37.0,35.5,39.0,44.5,,,,,,,,,,,,,4.064002
4,42,9.0,29.5,,29.5,45.0,29.5,19.0,29.5,45.0,,,,,,,,,,,,,4.064002
4,47,9.0,,,,20.0,11.0,,12.5,21.5,,,,1.0083333,,,,0.5625,,,,5.6299896,4.064002
4,52,9.0,,,,11.0,,,6.5,15.0,,,,1.005,,,,0.5625,,,,,4.064002
4,56,9.0,20.0,8.5,16.5,20.0,20.0,10.0,17.5,20.0,0.98833334,,0.98833334,1.0516667,-1.125,,0.5,3.5,7.029999,,0.0,7.029999,4.064002
5,0,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,4,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,9,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,13,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,17,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,22,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,26,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,30,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,35,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,39,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,45,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,50,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,54,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
5,58,13.0,,,,,,,,,,,,,,,,,,,,,774.70044
6,3,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
6,16,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
6,25,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
6,35,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
6,45,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
6,55,13.0,,,,,,,,,,,,,,,,,,,,,0.25400013
7,3,13.0,,,12.0,17.5,14.0,12.5,17.5,21.0,,,,,,,,,,,,,0.50800025
7,7,13.0,14.5,10.5,14.5,20.0,17.0,11.5,15.5,20.0,,,,,,,,,,,,,0.50800025
7,11,13.0,15.0,,13.0,16.0,15.0,10.5,13.0,16.0,,,,,,,,,,,,,0.50800025
7,15,13.0,,,,10.0,,,,12.0,,,,,,,,,,,,,0.50800025
7,19,13.0,,,10.5,14.0,13.0,,13.5,16.5,,,,,,,,,,,,,0.50800025
7,23,13.0,,,,12.5,,,,13.5,,,,,,,,,,,,,0.50800025
7,27,13.0,,,,11.0,,,,11.0,,,,,,,,,,,,,0.50800025
7,31,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,35,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,39,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,43,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,47,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,51,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,55,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
7,58,13.0,,,,,,,,,,,,,,,,,,,,,0.50800025
8,3,8.0,20.5,,17.5,27.0,21.5,21.0,24.0,28.5,0.995,0.985,0.99833333,1.005,1.125,0.8125,1.5,2.1875,-1.0599976,-5.630005,-1.2400055,4.4599915,3.2250018
8,8,8.0,10.5,,10.5,23.0,21.0,18.0,21.0,24.0,,,,,,,,,,,,,3.2250018
8,13,8.0,20.5,17.5,21.5,28.0,28.0,20.5,26.5,30.5,,,,,,,,,,,,,3.2250018
8,18,8.0,22.5,,18.0,25.0,22.5,18.0,20.5,25.5,,,,,,,,,,,,,3.2250018
8,23,8.0,,,,13.5,28.5,20.5,24.5,32.0,,,,,,,,,,,,,3.2250018
8,29,8.0,27.5,19.0,25.0,27.5,27.5,26.5,28.0,31.5,,,,1.0516667,,,,0.125,,,,,3.2250018
8,34,8.0,25.5,22.5,25.5,28.5,33.0,27.0,29.0,33.0,0.7916667,0.8616667,1.0183333,1.0516667,2.5625,-2.5,-0.875,2.1875,-1.050003,,-1.050003,4.580002,3.2250018
8,39,8.0,25.5,22.0,25.5,28.0,33.5,29.0,30.5,33.5,,,,,,,,,,,,,3.2250018
8,44,8.0,17.0,13.5,20.0,31.0,24.0,23.0,26.5,32.0,,,,1.0516667,,,,-2.0,,,,,3.2250018
8,49,8.0,18.5,14.0,21.0,29.0,23.0,19.0,23.0,29.0,,,,0.955,,,,0.5,,,,,3.2250018
8,54,8.0,8.0,,7.5,13.0,8.0,,7.5,15.0,0.945,0.9483333,0.9716667,0.9916667,0.4375,-0.75,0.5,2.3125,1.0599976,-2.4700012,0.70999146,2.819992,3.2250018
8,59,8.0,,,,,,,,,0.995,0.95166665,0.985,0.995,0.5,0.0625,1.0,1.875,1.0599976,-3.7900085,0.70999146,3.0800018,3.2250018
9,1,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,6,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,10,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,14,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,19,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,24,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,28,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,33,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,37,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,42,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,47,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,52,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
9,56,18.0,,,,,,,,,,,,,,,,,,,,,18.28801
10,2,10.0,32.5,32.0,35.0,37.0,35.0,33.5,35.5,39.5,0.94166666,0.815,0.935,0.9916667,1.875,-1.9375,0.375,2.6875,10.98999,-6.330002,0.70999146,11.089996,0.010000005
10,6,10.0,37.5,30.5,34.5,37.5,37.5,32.5,35.5,39.0,0.89166665,0.725,0.9316667,0.9916667,0.75,-1.5625,0.6875,3.6875,-20.25,-11.75,0.0,8.429993,0.010000005
10,11,10.0,36.0,31.0,34.0,36.0,36.0,33.5,36.5,38.5,0.955,0.7216667,0.9116667,0.9716667,1.1875,-0.5,1.1875,5.875,-3.1699982,-13.449997,-3.1699982,8.080002,0.010000005
10,16,10.0,29.0,28.5,32.0,36.0,29.0,31.0,33.0,36.0,0.76166666,0.76166666,0.9316667,0.985,0.9375,-0.6875,0.8125,2.9375,0.0,-0.3500061,1.0599976,10.399994,0.010000005
10,20,10.0,32.5,31.0,33.5,38.0,32.5,32.5,34.0,38.5,0.975,0.91833335,0.9716667,0.985,-2.4375,-1.3125,0.5625,2.25,5.9799957,0.0,2.1100006,6.8799896,0.010000005
10,25,10.0,32.0,26.5,32.0,37.0,36.5,29.5,35.0,38.0,0.8616667,0.86833334,0.915,0.97833335,-0.5,-1.25,0.375,3.3125,-5.980011,-6.3899994,1.0599976,11.929993,0.010000005
10,30,10.0,36.5,27.0,32.5,36.0,36.5,28.5,34.0,36.0,0.9916667,0.9216667,0.97833335,0.9916667,0.3125,-0.4375,0.4375,2.25,-1.8800049,-3.5200043,-1.0599976,2.4700012,0.010000005
10,34,10.0,32.5,31.5,34.5,39.5,34.5,33.0,35.5,39.5,0.995,0.9116667,0.9816667,0.995,0.25,-0.25,0.375,2.375,1.4099884,-5.550003,0.34999084,4.2299957,0.010000005
10,39,10.0,38.0,33.0,36.0,38.5,38.0,34.5,37.0,39.5,0.75166667,0.8183333,0.94166666,0.985,-0.3125,-0.875,0.5,2.875,4.5099945,-9.130005,3.5099945,7.73999,0.010000005
10,44,10.0,36.5,32.5,34.0,36.0,36.5,33.5,35.0,36.5,0.94166666,0.85833335,0.935,0.98833334,-1.25,-1.625,0.4375,1.75,-2.4700012,-5.630005,-0.3500061,3.1699982,0.010000005
10,48,10.0,32.5,30.0,31.5,37.5,32.5,31.0,32.5,37.5,0.865,0.87166667,0.96833336,0.9916667,1.0625,-1.25,0.0,2.0625,-2.1200104,-5.2900085,-3.5100098,2.119995,0.010000005
10,53,10.0,32.0,30.0,34.0,36.5,33.0,32.5,34.0,37.5,0.90166664,0.8383333,0.9483333,0.995,1.1875,-0.6875,0.5625,2.0,-3.8700104,-3.8700104,1.4099884,7.4599915,0.010000005
11,1,12.0,21.0,16.5,20.0,23.0,21.0,16.5,20.0,23.0,0.9816667,0.9483333,0.9816667,1.015,-0.4375,-0.4375,0.25,0.875,-1.4100037,-1.7600098,1.0599976,3.8799896,2.5400014
11,10,12.0,23.5,22.0,24.5,26.5,23.5,22.0,24.5,26.5,0.96166664,0.9716667,0.995,1.0016667,0.5625,-0.125,0.25,0.75,0.70999146,-2.4700012,0.0,2.119995,2.5400014
11,20,12.0,20.0,17.0,19.5,23.0,20.0,17.0,19.5,23.0,0.9916667,0.9816667,0.9916667,1.0016667,0.0625,-0.3125,0.0625,0.5625,-1.0599976,-2.1100006,-1.0599976,1.7599945,2.5400014
11,29,12.0,16.5,16.5,19.0,23.0,16.5,16.5,19.0,23.0,0.98833334,0.96500003,0.9816667,0.99833333,0.0,-0.6875,0.125,0.9375,-3.1699982,-3.1699982,0.70999146,2.4700012,2.5400014
11,39,12.0,20.0,16.5,18.5,21.5,20.0,16.5,18.5,21.5,0.96833336,0.96833336,0.995,1.0216666,0.6875,-0.375,0.3125,1.25,-1.3400116,-1.3600006,-0.3500061,1.7599945,2.5400014
11,49,12.0,19.0,18.0,19.5,22.0,19.0,18.0,19.5,22.0,0.995,0.975,0.99833333,1.0350001,1.4375,-0.625,0.1875,1.3125,-3.1699982,-3.1699982,-1.0599976,3.5099945,2.5400014
11,58,12.0,15.0,15.0,18.5,22.5,15.0,15.0,18.5,22.5,1.0116667,0.96833336,0.995,1.0083333,1.0625,-0.4375,0.1875,1.0625,-0.7100067,-3.1699982,-0.3500061,1.7599945,2.5400014
12,5,6.0,30.0,32.0,34.0,36.0,45.0,40.0,42.5,45.5,0.995,0.97833335,0.9916667,0.99833333,1.1875,1.0,1.125,1.6875,0.34999084,-1.4100037,-0.3500061,1.4099884,3.3020017
12,11,6.0,35.5,33.0,35.5,39.0,43.5,38.0,40.0,43.5,0.99833333,0.98833334,0.995,0.99833333,1.0,0.6875,1.0,1.4375,0.34999084,-1.0599976,0.34999084,1.0599976,3.3020017
12,16,6.0,34.5,31.5,33.5,37.0,39.5,37.0,39.5,42.5,0.985,0.9816667,0.9916667,0.99833333,1.75,0.625,1.0,1.625,0.70999146,-0.69999695,0.0,1.0599976,3.3020017
12,22,6.0,33.0,32.5,34.5,37.0,38.5,39.0,41.5,45.0,0.995,0.985,0.995,0.99833333,1.4375,0.9375,1.125,1.5,0.34999084,-1.3899994,0.0,1.0599976,3.3020017
12,28,6.0,34.5,34.0,36.5,39.0,42.0,37.5,40.5,43.5,0.995,0.97833335,0.995,0.99833333,1.0,0.4375,0.9375,1.3125,0.0,-1.0599976,0.0,1.7599945,3.3020017
12,33,6.0,31.5,29.5,32.0,34.0,39.0,35.5,38.5,41.0,0.9916667,0.9816667,0.9916667,0.99833333,1.0625,0.5625,1.0625,1.8125,1.7599945,-1.4100037,0.0,1.7599945,3.3020017
12,39,6.0,30.5,30.5,32.5,37.0,39.5,36.0,38.0,40.0,0.98833334,0.985,0.9916667,0.995,1.25,0.625,1.125,1.6875,-1.4100037,-2.0900116,-1.4100037,0.70999146,3.3020017
12,45,6.0,31.0,30.5,32.5,34.0,39.0,37.0,38.5,42.0,0.995,0.98833334,0.995,0.99833333,0.6875,0.6875,1.125,1.5,-2.8200073,-1.4100037,0.0,2.119995,3.3020017
12,51,6.0,32.5,32.0,34.5,37.0,41.5,38.5,41.0,43.0,0.985,0.985,0.995,0.99833333,1.1875,0.75,1.0625,1.4375,-0.3500061,-1.0599976,0.34999084,2.819992,3.3020017
12,56,6.0,35.5,34.5,36.5,39.5,40.5,39.0,41.5,45.0,0.995,0.97833335,0.995,0.99833333,1.0625,0.5625,0.875,1.3125,1.7399902,-0.7100067,0.69999695,3.8799896,3.3020017
13,0,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,4,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,8,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,12,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,16,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,20,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,26,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,30,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,34,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,38,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,42,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,46,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,50,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,54,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
13,58,17.0,,,,,,,,,,,,,,,,,,,,,0.25400013
14,5,14.0,16.0,13.5,16.0,21.0,16.0,13.5,16.0,21.0,0.995,0.9583333,0.99833333,1.0383334,0.0625,-1.5,0.3125,1.5,-1.0400085,-3.7600098,0.34999084,5.279999,1.2700007
14,11,14.0,24.0,17.0,20.0,24.0,24.0,17.0,20.0,24.0,0.995,0.9916667,0.995,1.0116667,0.875,-0.6875,0.4375,1.375,0.34999084,-3.8399963,-0.7100067,5.279999,1.2700007
14,16,14.0,14.0,,14.0,20.0,14.0,,14.0,20.0,0.9816667,0.98833334,0.99833333,1.0350001,1.0,-0.75,0.25,1.4375,0.0,-9.2400055,-0.7100067,3.1699982,1.2700007
14,22,14.0,15.0,12.0,16.5,18.0,15.0,12.0,16.5,18.0,1.0516667,0.9716667,1.0016667,1.0516667,1.3125,-1.4375,0.4375,2.375,-5.199997,-5.199997,0.69999695,4.5399933,1.2700007
14,28,14.0,17.5,,13.0,16.5,17.5,,13.0,16.5,0.98833334,,0.98833334,1.0516667,-0.6875,,-0.125,1.25,1.7599945,,-0.3500061,1.7599945,1.2700007
14,33,14.0,,,,,,,,,1.0516667,0.975,1.0083333,1.0516667,-2.0625,-3.0,-0.125,1.5625,0.34999084,,-0.7100067,6.769989,1.2700007
14,39,14.0,,,,,,,,,0.99833333,0.9816667,0.995,1.0250001,0.875,-0.625,0.375,1.25,-0.3500061,-2.1100006,0.34999084,1.4299927,1.2700007
14,45,14.0,,,,,,,,,,,,0.995,,,,-0.0625,,,,1.3699951,1.2700007
14,51,14.0,,,,,,,,,,,,,,,,,,,,,1.2700007
14,56,14.0,,,,,,,,,,,,,,,,,,,,,1.2700007
15,3,14.0,13.0,,17.0,22.5,13.0,16.0,18.5,22.5,1.0083333,0.97833335,1.0016667,1.015,0.3125,-1.25,-0.125,1.25,0.0,-6.8200073,-1.4100037,4.580002,2.2860012
15,8,14.0,18.0,,16.5,20.0,18.0,14.5,17.0,20.0,0.995,0.9816667,1.0016667,1.0450001,-0.1875,-1.6875,-0.125,0.8125,2.4599915,-3.5,-0.3500061,2.4599915,2.2860012
15,13,14.0,13.5,,14.0,19.0,18.0,,15.5,19.0,1.0250001,0.98833334,1.005,1.0516667,0.375,-0.8125,0.0,1.0625,1.4099884,-5.5599976,-1.4100037,4.2299957,2.2860012
15,18,14.0,14.5,,15.5,20.5,15.5,14.5,17.0,24.0,1.0083333,0.97833335,1.005,1.0450001,0.0,-1.25,0.0,1.9375,0.34999084,-5.230011,0.34999084,2.4599915,2.2860012
15,23,14.0,18.5,14.0,17.0,21.0,18.5,16.5,18.5,21.0,0.9916667,0.9116667,1.005,1.0516667,0.875,-1.8125,-0.25,1.75,-2.4400024,,-4.900009,10.830002,2.2860012
15,29,14.0,18.5,14.0,17.0,21.5,18.5,16.0,18.0,22.5,1.0116667,0.90500003,0.995,1.0516667,1.5625,-2.25,-0.875,1.875,7.3799896,-16.419998,0.34999084,9.37999,2.2860012
15,34,14.0,17.0,13.5,16.0,20.0,17.5,15.0,18.0,21.0,,,,1.0516667,,,,2.1875,,,,,2.2860012
15,39,14.0,15.5,13.5,17.5,21.5,17.5,15.5,18.5,22.5,,,,,,,,,,,,,2.2860012
15,44,14.0,17.0,13.5,18.0,22.5,21.0,13.5,19.0,23.0,,,,1.0516667,,,,1.4375,,,,2.1900024,2.2860012
15,49,14.0,14.0,,16.5,22.0,16.5,16.5,19.0,23.0,,,,1.0516667,,,,2.875,,,,,2.2860012
15,54,14.0,18.5,,15.0,19.0,22.0,16.0,19.5,24.5,,,,,,,,,,,,,2.2860012
15,59,14.0,15.0,,18.0,22.5,21.5,13.5,18.0,23.0,,,,,,,,,,,,,2.2860012
16,4,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,9,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,13,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,19,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,24,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,29,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,34,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,40,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,46,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,51,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
16,56,13.0,,,,,,,,,,,,,,,,,,,,,1308.1007
17,2,14.0,15.0,19.0,23.0,25.5,17.0,19.0,23.0,25.5,1.0183333,0.99833333,1.0216666,1.0516667,-1.125,-1.0625,0.0,0.75,1.7599945,-2.1200104,-0.3500061,5.279999,0.060000036
17,6,14.0,19.0,18.0,22.0,25.0,19.0,18.0,22.0,25.0,1.0116667,0.99833333,1.0116667,1.0516667,-0.0625,-0.6875,-0.1875,1.3125,-1.0599976,-4.230011,0.70999146,4.2299957,0.060000036
17,11,14.0,22.5,18.5,22.0,26.5,22.5,20.5,22.0,26.5,1.005,1.0016667,1.015,1.0383334,-0.6875,-0.6875,-0.0625,0.6875,3.519989,-3.880005,0.34999084,7.029999,0.060000036
17,16,14.0,17.5,18.5,24.0,26.5,20.0,20.0,24.0,26.5,1.005,1.0016667,1.0183333,1.0516667,-0.1875,-1.4375,0.125,1.5625,-1.4100037,-2.1200104,-1.0599976,4.619995,0.060000036
17,20,14.0,26.0,23.0,26.0,29.0,26.0,23.0,26.0,29.0,1.0250001,0.995,1.0083333,1.0516667,1.4375,-1.125,-0.3125,1.125,-5.6399994,-4.230011,-1.0599976,4.220001,0.060000036
17,25,14.0,24.5,25.5,27.0,30.5,24.5,25.5,27.0,30.5,1.0216666,0.985,1.0183333,1.0516667,0.625,-0.8125,-0.25,1.625,-1.0599976,-3.5100098,-0.69999695,3.8799896,0.060000036
17,30,14.0,26.5,23.0,24.5,27.5,26.5,23.0,24.5,27.5,1.0016667,1.0016667,1.0183333,1.0516667,0.8125,-1.0,0.1875,1.1875,-1.0599976,-3.5200043,-1.0599976,2.819992,0.060000036
17,34,14.0,26.5,22.5,24.5,28.5,26.5,22.5,24.5,28.5,1.0016667,0.99833333,1.0416667,1.0516667,-1.6875,-2.0625,-0.375,1.375,-0.7100067,-11.660004,-1.4000092,4.970001,0.060000036
17,39,14.0,23.5,20.5,24.5,28.5,23.5,20.5,24.5,28.5,1.0416667,0.99833333,1.0183333,1.0516667,-1.3125,-1.375,-0.4375,1.25,4.9299927,-1.7600098,0.34999084,3.8799896,0.060000036
17,44,14.0,24.0,20.0,22.5,26.5,24.0,20.0,22.5,26.5,1.0083333,1.0083333,1.0483334,1.0516667,1.5,-1.3125,0.125,1.75,-4.919998,-6.330002,-2.4600067,6.819992,0.060000036
17,48,14.0,16.5,16.5,21.0,25.0,16.5,16.5,21.0,25.0,1.0116667,0.99833333,1.0416667,1.0516667,-0.75,-0.6875,0.0,2.1875,0.70999146,-6.680008,0.70999146,5.6399994,0.060000036
17,53,14.0,16.5,15.0,18.0,25.5,16.5,15.5,18.0,25.5,1.0250001,0.9916667,1.0083333,1.0516667,-0.25,-0.875,-0.25,1.9375,-2.4700012,-2.4700012,2.8099976,7.9599915,0.060000036
18,5,13.0,24.5,19.5,25.0,28.5,24.5,19.5,25.0,28.5,1.005,0.945,0.99833333,1.0516667,-0.1875,-2.125,0.1875,1.1875,4.199997,-5.5700073,1.050003,5.279999,1.5240008
18,11,13.0,20.0,16.0,21.5,31.0,20.0,16.0,21.5,31.0,0.985,0.985,0.995,1.0083333,0.0,-0.5,0.4375,1.0,-0.3500061,-2.4700012,0.0,1.7599945,1.5240008
18,16,13.0,17.0,15.5,17.5,21.0,17.0,15.5,17.5,21.0,1.0083333,0.9916667,0.99833333,1.0083333,0.375,-0.0625,0.375,1.0,3.8799896,-3.1699982,-0.3500061,3.8799896,1.5240008
18,22,13.0,19.0,17.5,20.5,24.5,19.0,17.5,20.5,24.5,0.99833333,0.96833336,0.9916667,0.99833333,1.0,0.0625,0.9375,1.1875,2.819992,-1.0599976,0.34999084,2.819992,1.5240008
18,28,13.0,19.0,12.5,17.5,21.0,19.0,12.5,17.5,21.0,0.985,0.9583333,0.9916667,1.0116667,0.8125,-0.1875,0.8125,2.3125,-4.580002,-4.580002,1.4099884,3.519989,1.5240008
18,33,13.0,14.0,,12.5,18.0,14.0,,12.5,18.0,0.9916667,0.985,0.995,1.0116667,0.75,-0.25,0.3125,1.0625,1.0599976,-2.1200104,-0.3500061,2.1100006,1.5240008
18,39,13.0,10.0,,12.0,16.0,10.0,,12.0,16.0,0.96833336,0.96500003,0.9916667,1.015,0.375,-0.9375,-0.125,0.875,2.819992,-3.850006,0.0,2.819992,1.5240008
18,45,13.0,,,,,,,,,0.98833334,,1.0016667,1.0516667,-0.1875,,0.25,1.25,-4.1200104,,-1.4100037,4.0899963,1.5240008
18,51,13.0,,,,,,,,,1.0183333,0.9816667,1.0083333,1.0516667,-0.8125,-1.5,0.25,1.625,0.34999084,,0.0,2.769989,1.5240008
